Date,Open,High,Low,Close,Adj Close,Volume
2021-10-30,196.4240264892578,197.02651977539062,188.016357421875,190.4823455810547,190.4823455810547,2152582091
2021-10-31,190.44384765625,194.93223571777344,187.3317108154297,191.81637573242188,191.81637573242188,2072793808
2021-11-01,192.04502868652344,200.49143981933594,188.3896484375,197.55499267578125,197.55499267578125,2301982951
2021-11-02,197.62567138671875,204.24156188964844,195.2384033203125,200.7246856689453,200.7246856689453,2197205823
2021-11-03,200.71893310546875,209.02328491210938,197.8549346923828,207.11013793945312,207.11013793945312,2526891232
2021-11-04,207.28309631347656,207.28309631347656,197.3330535888672,202.96798706054688,202.96798706054688,2297111488
2021-11-05,202.95184326171875,203.23916625976562,197.13235473632812,199.53793334960938,199.53793334960938,1691201016
2021-11-06,199.29800415039062,201.1033935546875,191.83587646484375,197.86636352539062,197.86636352539062,1562585003
2021-11-07,197.8972625732422,202.4279022216797,197.35459899902344,202.0513153076172,202.0513153076172,1368484091
2021-11-08,202.30235290527344,229.48040771484375,202.30235290527344,228.69619750976562,228.69619750976562,3069524134
2021-11-09,228.87667846679688,274.27752685546875,227.10169982910156,262.9067077636719,262.9067077636719,7006560647
2021-11-10,262.1584167480469,294.5628662109375,254.38720703125,261.2629699707031,261.2629699707031,7776726430
2021-11-11,260.8917541503906,273.7519226074219,251.60540771484375,263.0867004394531,263.0867004394531,3957519255
2021-11-12,262.6050720214844,281.9473876953125,244.24835205078125,251.55836486816406,251.55836486816406,4974432912
2021-11-13,251.19338989257812,263.6808166503906,245.50743103027344,258.09320068359375,258.09320068359375,2964986959
2021-11-14,257.9888000488281,279.2216796875,249.1079864501953,278.00750732421875,278.00750732421875,3230589098
2021-11-15,279.2409362792969,280.7282409667969,259.9883728027344,262.7633972167969,262.7633972167969,2797322397
2021-11-16,263.3050537109375,263.3050537109375,224.916748046875,230.59942626953125,230.59942626953125,4031751969
2021-11-17,230.64382934570312,234.9708709716797,221.84703063964844,229.5041046142578,229.5041046142578,2863410681
